Timestamp,FrameCount,Delay,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,UKFPosX,UKFPosY,UKFPosZ,UKFRotX,UKFRotY,UKFRotZ,UKFRotW,UPFPosX,UPFPosY,UPFPosZ,UPFRotX,UPFRotY,UPFRotZ,UPFRotW,FusedPosX,FusedPosY,FusedPosZ,FusedRotX,FusedRotY,FusedRotZ,FusedRotW,UKFLatency,UPFLatency,FusionLatency
15:56:01.608,12,22.26137,-0.0007921736,1.523944,-0.02241548,-0.07150528,-0.0214141,0.03977229,0.9964169,-0.00077684,1.527354,-0.02242563,-9.396739E-06,0.01332828,-0.0001963266,0.9999112,-0.0007968444,1.505193,-0.02278313,0.0001785354,0.01332708,0.01390263,0.9998145,-0.0007868422,1.516273,-0.02260438,8.457143E-05,0.01332801,0.00685332,0.9998877,0.1027,18.7214,0.051
15:56:01.639,13,22.29237,-0.0009798398,1.524094,-0.02234588,-0.07165872,-0.01951697,0.03836403,0.9965,-0.0008901139,1.525867,-0.0227822,-1.039978E-05,0.0133153,-0.0001976037,0.9999114,-0.0008975834,1.497697,-0.02281567,0.0001773838,0.01331412,0.01390393,0.9998147,-0.0008938486,1.511782,-0.02279893,8.349409E-05,0.01331504,0.006853334,0.9998879,0.0954,18.7484,0.0536
15:56:01.673,14,22.32637,-0.001157941,1.523942,-0.02210552,-0.07180521,-0.01831334,0.03739192,0.9965493,-0.001039756,1.524633,-0.02247383,-1.169334E-05,0.01330454,-0.0001968292,0.9999115,-0.001065122,1.509793,-0.02230334,0.0001759185,0.01330338,0.01390319,0.9998148,-0.001052439,1.517213,-0.02238858,8.21146E-05,0.01330429,0.006853353,0.999888,0.1085,19.8917,0.0554
15:56:01.706,15,22.35937,-0.001336612,1.52383,-0.02195562,-0.07142049,-0.0170762,0.03758417,0.9965917,-0.001213481,1.552305,-0.02254094,-1.325679E-05,0.013546,-0.0001968075,0.9999083,-0.001282888,1.54231,-0.0231738,0.0001777601,0.01354484,0.01390317,0.9998116,-0.001248184,1.547307,-0.02285737,8.225371E-05,0.01354576,0.006853352,0.9998848,0.1598,18.231,0.0516
15:56:01.740,16,22.39287,-0.001730928,1.523775,-0.02193753,-0.07084534,-0.01669612,0.03834595,0.9966102,-0.001539268,1.531834,-0.02209028,-1.60082E-05,0.01336738,-0.0001925672,0.9999107,-0.001595569,1.513459,-0.02295975,0.0001723778,0.01336627,0.01389904,0.999814,-0.001567419,1.522647,-0.02252502,7.818673E-05,0.01336716,0.006853405,0.9998872,0.1089,20.4326,0.0747
15:56:01.775,17,22.42837,-0.00184224,1.523756,-0.02190915,-0.0707434,-0.01722462,0.03882898,0.9965897,-0.001701676,1.51461,-0.02186991,-1.73323E-05,0.01321708,-0.0001877011,0.9999127,-0.001705007,1.497044,-0.02202984,0.0001688074,0.01321601,0.01389423,0.9998161,-0.001703341,1.505827,-0.02194988,7.573944E-05,0.01321687,0.006853436,0.9998892,0.1213,19.6118,0.0704
15:56:01.815,18,22.46787,-0.001880761,1.523203,-0.02172066,-0.06956545,-0.01661059,0.04053617,0.9966151,-0.0017725,1.50788,-0.02156695,-1.791214E-05,0.01315835,-0.0001856314,0.9999135,-0.001823808,1.514373,-0.02193824,0.0001673464,0.0131573,0.01389219,0.999817,-0.001798154,1.511127,-0.0217526,7.471897E-05,0.01315815,0.006853449,0.99989,0.1247,21.0111,0.0578
15:56:01.844,19,22.49687,-0.002210842,1.522643,-0.0217109,-0.06524195,-0.01571415,0.04269427,0.9968319,-0.002040531,1.51102,-0.02164825,-2.029883E-05,0.01318575,-0.0001888451,0.999913,-0.002131004,1.511066,-0.02187205,0.0001654313,0.01318473,0.01389546,0.9998165,-0.002085768,1.511043,-0.02176015,7.256803E-05,0.01318557,0.006853477,0.9998896,0.0919,18.8402,0.0425
15:56:01.872,20,22.52537,-0.00204528,1.522882,-0.02155847,-0.06555717,-0.01477432,0.04377965,0.9967785,-0.001937149,1.525979,-0.02170569,-1.947318E-05,0.01331628,-0.0001927444,0.9999113,-0.002059465,1.514351,-0.02139525,0.0001681989,0.01331523,0.01389931,0.9998147,-0.001998307,1.520165,-0.02155047,7.436473E-05,0.01331609,0.006853456,0.9998879,0.0906,18.6967,0.0417
15:56:01.902,21,22.55537,-0.002032931,1.522815,-0.02164447,-0.06633742,-0.01474851,0.04368678,0.9967313,-0.002005224,1.521686,-0.02169465,-2.002422E-05,0.01327882,-0.0001900452,0.9999118,-0.002035212,1.534629,-0.02152891,0.0001670486,0.01327779,0.01389664,0.9998153,-0.002020218,1.528158,-0.02161178,7.351403E-05,0.01327864,0.006853467,0.9998884,0.0961,19.3614,0.0506
